horizon_d,t_entry,t_res,price,outcome,yes_token,condition_id,question,n_visible,bulls,bears,entry,ret
7,2026-06-24,2026-07-01,0.0015,0.0,39971087496427056640429359043364261029374524049464674733142166279730655826181,0xbaf7780f9059e34b84301fd411f8dc573b4d56adfe6e0cda33daf304b1438da4,Will Ecuador win the 2026 FIFA World Cup?,38,0,0,0.021500000000000002,-1.0
3,2026-06-28,2026-07-01,0.0065,0.0,39971087496427056640429359043364261029374524049464674733142166279730655826181,0xbaf7780f9059e34b84301fd411f8dc573b4d56adfe6e0cda33daf304b1438da4,Will Ecuador win the 2026 FIFA World Cup?,41,0,0,0.0265,-1.0
7,2026-06-24,2026-07-01,0.0015,0.0,87403333427856945144645806003352057704193778078820484282942507058200689996202,0xcd836ec4d94b8a4ddc5713d80fe9db245d2fb4796eaf12337974da1b4e96100d,Will Congo DR win the 2026 FIFA World Cup?,38,0,0,0.021500000000000002,-1.0
3,2026-06-28,2026-07-01,0.0005,0.0,87403333427856945144645806003352057704193778078820484282942507058200689996202,0xcd836ec4d94b8a4ddc5713d80fe9db245d2fb4796eaf12337974da1b4e96100d,Will Congo DR win the 2026 FIFA World Cup?,41,0,0,0.0205,-1.0
7,2026-06-22,2026-06-29,0.0215,0.0,19159976531313550247579355752030367100657092033093647047491459813592996250034,0x0189df05ed7bf84d799213b01a79571e305c03b2ac5359cfbb3a323448ba20fa,Will Japan win the 2026 FIFA World Cup?,37,1,1,0.041499999999999995,-1.0
3,2026-06-26,2026-06-29,0.0155,0.0,19159976531313550247579355752030367100657092033093647047491459813592996250034,0x0189df05ed7bf84d799213b01a79571e305c03b2ac5359cfbb3a323448ba20fa,Will Japan win the 2026 FIFA World Cup?,38,2,0,0.035500000000000004,-1.0
7,2026-05-25,2026-06-01,0.235,0.0,72094069823942324362885404801938332659316240217382754851102758232469673300092,0x0e4a0c937b8934c2475613b6322b3f8edc8dedc24762e01e42b0e6f87424a089,"US x Iran permanent peace deal by May 31, 202",25,0,0,0.255,-1.0
3,2026-05-29,2026-06-01,0.115,0.0,72094069823942324362885404801938332659316240217382754851102758232469673300092,0x0e4a0c937b8934c2475613b6322b3f8edc8dedc24762e01e42b0e6f87424a089,"US x Iran permanent peace deal by May 31, 202",25,1,0,0.135,-1.0
7,2026-06-23,2026-06-30,0.0565,0.0,81739002353269632749850710185641576213562066971072676369728657545679630163887,0x1595b4818eeb1ea1e0bec5de6f057218e557feee9b405a0e930d290384fa1d16,Will Germany win the 2026 FIFA World Cup?,38,2,0,0.0765,-1.0
3,2026-06-27,2026-06-30,0.0455,0.0,81739002353269632749850710185641576213562066971072676369728657545679630163887,0x1595b4818eeb1ea1e0bec5de6f057218e557feee9b405a0e930d290384fa1d16,Will Germany win the 2026 FIFA World Cup?,38,2,0,0.0655,-1.0
7,2026-06-25,2026-07-02,0.0025,0.0,32169302633723235235251659810064817019484855501133685217130365128535248672349,0x6972edb1b3f8cd8192651a665fc424dff846efe1c4a2376f628d4b20c704144c,Will Senegal win the 2026 FIFA World Cup?,38,1,0,0.0225,-1.0
3,2026-06-29,2026-07-02,0.0045,0.0,32169302633723235235251659810064817019484855501133685217130365128535248672349,0x6972edb1b3f8cd8192651a665fc424dff846efe1c4a2376f628d4b20c704144c,Will Senegal win the 2026 FIFA World Cup?,41,0,1,0.0245,-1.0
7,2026-06-20,2026-06-27,0.0055,0.0,97239126062673310243763617236644392945530356142765650402171508075574679292913,0x7876851632c295043c66536150a304cb785abdf712ba8489d298c6e6926be106,Will Uruguay win the 2026 FIFA World Cup?,34,1,0,0.025500000000000002,-1.0
3,2026-06-24,2026-06-27,0.0015,0.0,97239126062673310243763617236644392945530356142765650402171508075574679292913,0x7876851632c295043c66536150a304cb785abdf712ba8489d298c6e6926be106,Will Uruguay win the 2026 FIFA World Cup?,38,0,0,0.021500000000000002,-1.0
7,2026-06-23,2026-06-30,0.0535,0.0,55935183786009449883683540312350046975246300613283087403691731856990327029236,0x9be56371f6a29d12769b2f196847ee825b9585ebb8bfa042136be031b081eba1,Will Netherlands win the 2026 FIFA World Cup?,38,1,0,0.0735,-1.0
3,2026-06-27,2026-06-30,0.0575,0.0,55935183786009449883683540312350046975246300613283087403691731856990327029236,0x9be56371f6a29d12769b2f196847ee825b9585ebb8bfa042136be031b081eba1,Will Netherlands win the 2026 FIFA World Cup?,38,1,0,0.0775,-1.0
7,2026-06-24,2026-07-01,0.0025,0.0,41004484905556820430171783088292854654441952667499527125436634397522798168110,0xd0dbdc94b28c5cffeef64ed6b13e5f0f2324fb177e5ffaa634b48c88fe18d5e7,Will Sweden win the 2026 FIFA World Cup?,38,0,0,0.0225,-1.0
3,2026-06-28,2026-07-01,0.0015,0.0,41004484905556820430171783088292854654441952667499527125436634397522798168110,0xd0dbdc94b28c5cffeef64ed6b13e5f0f2324fb177e5ffaa634b48c88fe18d5e7,Will Sweden win the 2026 FIFA World Cup?,41,0,0,0.021500000000000002,-1.0
7,2026-04-22,2026-04-29,0.9935,1.0,63586620628756015058616403521099137018911742768824051367331188904593189743777,0x36e8ca24d2a13435f519f15580d42b45cdbe3bc425fb39a7c2733260357af0fa,Will there be no change in Fed interest rates,16,0,0,0.99,0.010101010101010166
3,2026-04-26,2026-04-29,0.9965,1.0,63586620628756015058616403521099137018911742768824051367331188904593189743777,0x36e8ca24d2a13435f519f15580d42b45cdbe3bc425fb39a7c2733260357af0fa,Will there be no change in Fed interest rates,17,0,0,0.99,0.010101010101010166
7,2026-04-22,2026-04-29,0.0025,0.0,9556122149160720922715284597610520228366807023831966638741974320131898296289,0xd4d00e5bf8b960cc37c74c1ec19e41e00b0706add203ddcfbb65ad006c5c223a,Will the Fed increase interest rates by 25+ b,16,0,0,0.0225,-1.0
3,2026-04-26,2026-04-29,0.0015,0.0,9556122149160720922715284597610520228366807023831966638741974320131898296289,0xd4d00e5bf8b960cc37c74c1ec19e41e00b0706add203ddcfbb65ad006c5c223a,Will the Fed increase interest rates by 25+ b,17,0,0,0.021500000000000002,-1.0
7,2026-06-21,2026-06-28,0.0015,0.0,105252206997885252352889070218074909957179496257006510170583432513037465278006,0xf950740bc71136155d6525cc0528a582c81f88812bff227803190c32ca25f54d,Will Scotland win the 2026 FIFA World Cup?,36,0,0,0.021500000000000002,-1.0
3,2026-06-25,2026-06-28,0.0005,0.0,105252206997885252352889070218074909957179496257006510170583432513037465278006,0xf950740bc71136155d6525cc0528a582c81f88812bff227803190c32ca25f54d,Will Scotland win the 2026 FIFA World Cup?,38,0,0,0.0205,-1.0
7,2026-04-22,2026-04-29,0.0015,0.0,18690049947242812495755151360212639738977254879109748949267393375856311641700,0xd72622d154dfe65b9c019d6afcfe75a55717e5c502db611f555b101aafbf6ec5,Will the Fed decrease interest rates by 50+ b,16,0,0,0.021500000000000002,-1.0
3,2026-04-26,2026-04-29,0.0005,0.0,18690049947242812495755151360212639738977254879109748949267393375856311641700,0xd72622d154dfe65b9c019d6afcfe75a55717e5c502db611f555b101aafbf6ec5,Will the Fed decrease interest rates by 50+ b,17,0,0,0.0205,-1.0
7,2026-06-24,2026-07-01,0.0025,0.0,38397507750621893057346880033441136112987238933685677349709401910643842844855,0x9352c559e9648ab4cab236087b64ca85c5b7123a4c7d9d7d4efde4a39c18056f,Will the Iranian regime fall by June 30?,38,1,0,0.0225,-1.0
3,2026-06-28,2026-07-01,0.0005,0.0,38397507750621893057346880033441136112987238933685677349709401910643842844855,0x9352c559e9648ab4cab236087b64ca85c5b7123a4c7d9d7d4efde4a39c18056f,Will the Iranian regime fall by June 30?,41,0,0,0.0205,-1.0
7,2026-04-22,2026-04-29,0.0025,0.0,83479140651306794046790588004449066364152228067472874205697111967337978544729,0x0d14f5dc9fb3250ec888b1ac8d9fe9a0ce06f9d3ea60fdf138e8690622fea84c,Will the Fed decrease interest rates by 25 bp,16,0,0,0.0225,-1.0
3,2026-04-26,2026-04-29,0.0015,0.0,83479140651306794046790588004449066364152228067472874205697111967337978544729,0x0d14f5dc9fb3250ec888b1ac8d9fe9a0ce06f9d3ea60fdf138e8690622fea84c,Will the Fed decrease interest rates by 25 bp,17,0,0,0.021500000000000002,-1.0
7,2026-06-25,2026-07-02,0.0015,0.0,89770121993255619705119104591644526712193505786928967250693522950895615785005,0xbce6698c9a61376c0709a2a724a9cf0dd0236d8dea882533073b6bb062efbee0,Will Bosnia-Herzegovina win the 2026 FIFA Wor,38,0,0,0.021500000000000002,-1.0
3,2026-06-29,2026-07-02,0.0015,0.0,89770121993255619705119104591644526712193505786928967250693522950895615785005,0xbce6698c9a61376c0709a2a724a9cf0dd0236d8dea882533073b6bb062efbee0,Will Bosnia-Herzegovina win the 2026 FIFA Wor,41,0,0,0.021500000000000002,-1.0
7,2026-06-21,2026-06-28,0.0005,0.0,33747305042007778221968790541070114008811587676172030120559423448386310500957,0x84edef36bded182da6a395ac6c785dba8f3e09b6c5ad041385b2042536cbef25,Will Iran win the 2026 FIFA World Cup?,36,0,0,0.0205,-1.0
3,2026-06-25,2026-06-28,0.0005,0.0,33747305042007778221968790541070114008811587676172030120559423448386310500957,0x84edef36bded182da6a395ac6c785dba8f3e09b6c5ad041385b2042536cbef25,Will Iran win the 2026 FIFA World Cup?,38,0,0,0.0205,-1.0
7,2026-06-13,2026-06-20,0.0125,0.0,18704778540677036028551740861729937822696511439974613107767625408338509619395,0x106ccc4508432a065a67394837d4c2c529a8d77ed69fa3ba90b81eedf5236598,Will Turkiye win the 2026 FIFA World Cup?,28,0,0,0.0325,-1.0
3,2026-06-17,2026-06-20,0.0045,0.0,18704778540677036028551740861729937822696511439974613107767625408338509619395,0x106ccc4508432a065a67394837d4c2c529a8d77ed69fa3ba90b81eedf5236598,Will Turkiye win the 2026 FIFA World Cup?,30,0,0,0.0245,-1.0
7,2026-06-21,2026-06-28,0.0005,0.0,90538013438399246674125939147272424357773921253199632436930218305581040235987,0x965ebc5d79eb1ec02cad67245a44b9e45b33359018f013fb6cf81d5bbf7bcc8d,Will Uzbekistan win the 2026 FIFA World Cup?,36,0,0,0.0205,-1.0
3,2026-06-25,2026-06-28,0.0005,0.0,90538013438399246674125939147272424357773921253199632436930218305581040235987,0x965ebc5d79eb1ec02cad67245a44b9e45b33359018f013fb6cf81d5bbf7bcc8d,Will Uzbekistan win the 2026 FIFA World Cup?,38,0,0,0.0205,-1.0
7,2026-05-01,2026-05-08,0.135,1.0,92338023949892178944669766466918011858071833335063600591564160751176113496073,0xe546672750517f62c45a5a00067481981e62b9c20fa8220203232c9dc8fd2093,"Russia x Ukraine ceasefire by June 30, 2026?",18,0,0,0.155,5.451612903225807
3,2026-05-05,2026-05-08,0.105,1.0,92338023949892178944669766466918011858071833335063600591564160751176113496073,0xe546672750517f62c45a5a00067481981e62b9c20fa8220203232c9dc8fd2093,"Russia x Ukraine ceasefire by June 30, 2026?",20,0,0,0.125,7.0
7,2026-06-18,2026-06-25,0.0005,0.0,35797818400757287472708740881657961304270157125643131597907636474183210188025,0x5e614739363bbfc399469102c600e4e8260032d41e59e0bc12ebc0e71231642d,Will Czechia win the 2026 FIFA World Cup?,33,0,1,0.0205,-1.0
3,2026-06-22,2026-06-25,0.0005,0.0,35797818400757287472708740881657961304270157125643131597907636474183210188025,0x5e614739363bbfc399469102c600e4e8260032d41e59e0bc12ebc0e71231642d,Will Czechia win the 2026 FIFA World Cup?,37,0,0,0.0205,-1.0
7,2026-06-20,2026-06-27,0.0005,0.0,23542782083949026234898323432000742558288032327930681121040136746492993951914,0x3fb8a8de2ac275882d72b2c4f22d41776fcf033f9e413a77a84dd395c0d5257c,Will Saudi Arabia win the 2026 FIFA World Cup,34,0,1,0.0205,-1.0
3,2026-06-24,2026-06-27,0.0005,0.0,23542782083949026234898323432000742558288032327930681121040136746492993951914,0x3fb8a8de2ac275882d72b2c4f22d41776fcf033f9e413a77a84dd395c0d5257c,Will Saudi Arabia win the 2026 FIFA World Cup,38,0,0,0.0205,-1.0
7,2026-04-24,2026-05-01,0.0075,0.0,48764428286656921488851644351774667118009263342042758531252625616470924946480,0xe443dab97ad8b7f58558cc7a6a3932d156031e962a451e0461e9a4578d78fe84,Will the Iranian regime fall by April 30?,17,0,0,0.0275,-1.0
3,2026-04-28,2026-05-01,0.0025,0.0,48764428286656921488851644351774667118009263342042758531252625616470924946480,0xe443dab97ad8b7f58558cc7a6a3932d156031e962a451e0461e9a4578d78fe84,Will the Iranian regime fall by April 30?,17,1,0,0.0225,-1.0
7,2026-06-11,2026-06-18,0.155,1.0,31867385211987925701696042012772036156561382644688734856312468506547392739862,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7,"US x Iran permanent peace deal by June 30, 20",28,0,0,0.175,4.714285714285714
3,2026-06-15,2026-06-18,0.925,1.0,31867385211987925701696042012772036156561382644688734856312468506547392739862,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7,"US x Iran permanent peace deal by June 30, 20",28,0,0,0.9450000000000001,0.05820105820105814
7,2026-04-18,2026-04-25,0.886,1.0,21743669032210695168079601505378236205866986767926346409604806906483294819314,0x8183a221622f2d5d2b46da86c80d55a61f43d35829589e03c1efae9d072638c5,Iran x Israel/US conflict ends by April 7?,15,1,0,0.906,0.10375275938189832
3,2026-04-22,2026-04-25,0.9965,1.0,21743669032210695168079601505378236205866986767926346409604806906483294819314,0x8183a221622f2d5d2b46da86c80d55a61f43d35829589e03c1efae9d072638c5,Iran x Israel/US conflict ends by April 7?,16,1,0,0.99,0.010101010101010166
7,2026-06-20,2026-06-27,0.0005,0.0,79609298644734030886284029462369514848707878622071495577618126141372199748974,0x9e5f9d8c384f8fe368b195fa9a780be58643dff7360588a4e577012df8af00a7,Will New Zealand win the 2026 FIFA World Cup?,34,0,0,0.0205,-1.0
3,2026-06-24,2026-06-27,0.0005,0.0,79609298644734030886284029462369514848707878622071495577618126141372199748974,0x9e5f9d8c384f8fe368b195fa9a780be58643dff7360588a4e577012df8af00a7,Will New Zealand win the 2026 FIFA World Cup?,38,0,0,0.0205,-1.0
7,2026-06-22,2026-06-29,0.0005,0.0,29544965695734183971376022965555206180154533479443150154863135205600734339980,0x233ce0c3969a5cd5079287f16fcd283be7c1db82263e08697f85dbe1b4d2113c,Will South Africa win the 2026 FIFA World Cup,37,0,0,0.0205,-1.0
3,2026-06-26,2026-06-29,0.0005,0.0,29544965695734183971376022965555206180154533479443150154863135205600734339980,0x233ce0c3969a5cd5079287f16fcd283be7c1db82263e08697f85dbe1b4d2113c,Will South Africa win the 2026 FIFA World Cup,38,0,1,0.0205,-1.0
7,2026-06-18,2026-06-25,0.0005,0.0,18605216520960122093689427575806651607517827372535894526532079999408408169156,0x4fe305a2ae995a52ff278895344895fe587b4fec3d5f04347b4dbf5e99bce99c,Will Qatar win the 2026 FIFA World Cup?,33,0,0,0.0205,-1.0
3,2026-06-22,2026-06-25,0.0005,0.0,18605216520960122093689427575806651607517827372535894526532079999408408169156,0x4fe305a2ae995a52ff278895344895fe587b4fec3d5f04347b4dbf5e99bce99c,Will Qatar win the 2026 FIFA World Cup?,37,0,0,0.0205,-1.0
7,2026-06-19,2026-06-26,0.0005,0.0,69020832226510184384177497367584971770730339593583713190288186699694495509961,0xdb4b2f370c3d0e996fbb32213c87aa5402936e3d4882432b6738e2f5661b79a6,Will Curaçao win the 2026 FIFA World Cup?,34,1,0,0.0205,-1.0
3,2026-06-23,2026-06-26,0.0005,0.0,69020832226510184384177497367584971770730339593583713190288186699694495509961,0xdb4b2f370c3d0e996fbb32213c87aa5402936e3d4882432b6738e2f5661b79a6,Will Curaçao win the 2026 FIFA World Cup?,38,0,0,0.0205,-1.0
7,2026-06-10,2026-06-17,0.9905,1.0,30767812841387255642892182147223249245545002662653079696958384408588201824258,0xde04b189b3f19eaccda02529a3ea67abfc46bff5c0c8fc42d8a2d0ed7b8f0d41,Will there be no change in Fed interest rates,27,0,0,0.99,0.010101010101010166
3,2026-06-14,2026-06-17,0.9955,1.0,30767812841387255642892182147223249245545002662653079696958384408588201824258,0xde04b189b3f19eaccda02529a3ea67abfc46bff5c0c8fc42d8a2d0ed7b8f0d41,Will there be no change in Fed interest rates,28,0,0,0.99,0.010101010101010166
7,2026-06-07,2026-06-14,0.2115,0.0,102227184035967850089766981958743064457339118173548431660886438726896222843254,0xb6b3d7a2037b3faa7e1306d741840d453432902d73cc9a146a035e40271eae73,Will the San Antonio Spurs win the 2026 NBA F,27,2,1,0.23149999999999998,-1.0
3,2026-06-11,2026-06-14,0.3745,0.0,102227184035967850089766981958743064457339118173548431660886438726896222843254,0xb6b3d7a2037b3faa7e1306d741840d453432902d73cc9a146a035e40271eae73,Will the San Antonio Spurs win the 2026 NBA F,28,0,0,0.3945,-1.0
7,2026-05-23,2026-05-30,0.415,0.0,19239676013860700691088049092452970929374202302906885826905266414962485495014,0xfef657b2f9ed83dd3db24c61d115203e836f9967289cd3281b6b91dcd7338104,Will Paris Saint-Germain FC win on 2026-05-30,25,0,0,0.435,-1.0
3,2026-05-27,2026-05-30,0.415,0.0,19239676013860700691088049092452970929374202302906885826905266414962485495014,0xfef657b2f9ed83dd3db24c61d115203e836f9967289cd3281b6b91dcd7338104,Will Paris Saint-Germain FC win on 2026-05-30,25,1,1,0.435,-1.0
7,2026-05-25,2026-06-01,0.0035,0.0,57360053771630303266236723124451177814047338705194149193939656360140487569996,0x789c947a9415600d30d56a4aae88d4111996679b0caed166d0c96242fdce92a2,Will the Iranian regime fall by May 31?,25,1,0,0.0235,-1.0
3,2026-05-29,2026-06-01,0.0015,0.0,57360053771630303266236723124451177814047338705194149193939656360140487569996,0x789c947a9415600d30d56a4aae88d4111996679b0caed166d0c96242fdce92a2,Will the Iranian regime fall by May 31?,25,0,0,0.021500000000000002,-1.0
7,2026-05-05,2026-05-12,0.0015,0.0,77893140510362582253172593084218413010407941075415081594586195705930819989216,0x924a2942747dd75703321a7c8d809c68f6a514c3b0f2a2e64274e02310634669,Strait of Hormuz traffic returns to normal by,20,0,0,0.021500000000000002,-1.0
3,2026-05-09,2026-05-12,0.0015,0.0,77893140510362582253172593084218413010407941075415081594586195705930819989216,0x924a2942747dd75703321a7c8d809c68f6a514c3b0f2a2e64274e02310634669,Strait of Hormuz traffic returns to normal by,22,0,0,0.021500000000000002,-1.0
7,2026-06-10,2026-06-17,0.0015,0.0,110884561568299698460551977852169332756450294345019257864587852438060900499251,0x4e4a7df876b0c04f0b8b29b9073eddfbaf5c787192da825ae7ca1031bc8cfd15,Will the Fed decrease interest rates by 50+ b,27,0,0,0.021500000000000002,-1.0
3,2026-06-14,2026-06-17,0.0015,0.0,110884561568299698460551977852169332756450294345019257864587852438060900499251,0x4e4a7df876b0c04f0b8b29b9073eddfbaf5c787192da825ae7ca1031bc8cfd15,Will the Fed decrease interest rates by 50+ b,28,0,0,0.021500000000000002,-1.0
3,2026-04-14,2026-04-17,0.0035,0.0,56958503032603479474712760211473691965846495282533669255954105717594026846100,0xc58cfb7397c4f3f803f5c20135cafa7f6d2c87cf3bb1e6138042b95d828e1866,Will the Charlotte Hornets win the 2026 NBA F,15,0,0,0.0235,-1.0
7,2026-06-14,2026-06-21,0.0005,0.0,86035858416252385053603758548087253570549129844230230783932738372075949702177,0xff0cfa9506cfa95759e4c7591654195bd26e3011f9882b51439135e04f2b69f1,Will Tunisia win the 2026 FIFA World Cup?,28,0,0,0.0205,-1.0
3,2026-06-18,2026-06-21,0.0005,0.0,86035858416252385053603758548087253570549129844230230783932738372075949702177,0xff0cfa9506cfa95759e4c7591654195bd26e3011f9882b51439135e04f2b69f1,Will Tunisia win the 2026 FIFA World Cup?,33,0,0,0.0205,-1.0
7,2026-06-19,2026-06-26,0.425,0.0,47236739815607347436394828740644657912816815268002585518946427187074399713739,0x32552863fe8014da2613037970661f0d49f415c86a88cb3d65af7a43395bc4ad,Will United States win on 2026-06-25?,34,1,0,0.445,-1.0
3,2026-06-23,2026-06-26,0.495,0.0,47236739815607347436394828740644657912816815268002585518946427187074399713739,0x32552863fe8014da2613037970661f0d49f415c86a88cb3d65af7a43395bc4ad,Will United States win on 2026-06-25?,38,1,0,0.515,-1.0
7,2026-05-26,2026-06-02,0.028,0.0,75845920741796858670183364159540464375486880005358999101126589340494255300090,0x518a5b030b205706b8ffe6bbad9bd3de59548348e5c0471827f5de21e513333c,Strait of Hormuz traffic returns to normal by,25,0,1,0.048,-1.0
3,2026-05-30,2026-06-02,0.0035,0.0,75845920741796858670183364159540464375486880005358999101126589340494255300090,0x518a5b030b205706b8ffe6bbad9bd3de59548348e5c0471827f5de21e513333c,Strait of Hormuz traffic returns to normal by,25,0,1,0.0235,-1.0
7,2026-06-13,2026-06-20,0.0005,0.0,113379015922744700109400673843380371641970914885846970213129353605968934558386,0x506f80bcf76bc75e6b31a250e2d754f347c4c231665326931d58bdb339ba1913,Will Haiti win the 2026 FIFA World Cup?,28,0,0,0.0205,-1.0
3,2026-06-17,2026-06-20,0.0005,0.0,113379015922744700109400673843380371641970914885846970213129353605968934558386,0x506f80bcf76bc75e6b31a250e2d754f347c4c231665326931d58bdb339ba1913,Will Haiti win the 2026 FIFA World Cup?,30,0,0,0.0205,-1.0
7,2026-06-16,2026-06-23,0.0005,0.0,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Will Jordan win the 2026 FIFA World Cup?,28,0,0,0.0205,-1.0
3,2026-06-20,2026-06-23,0.0005,0.0,98686749402500678753487703372528277029342097490180026723487433517076969282825,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,Will Jordan win the 2026 FIFA World Cup?,34,0,0,0.0205,-1.0
7,2026-05-26,2026-06-02,0.981,1.0,66902292002298886203346771040056530419935679784084512135573484656394546021214,0xd7540d64e03b1894ececcbb54c02b88d9c5c0e854ba66ec4e1ece20477994ac5,Will the Iran ceasefire continue through May ,25,0,0,0.99,0.010101010101010166
3,2026-05-30,2026-06-02,0.9985,1.0,66902292002298886203346771040056530419935679784084512135573484656394546021214,0xd7540d64e03b1894ececcbb54c02b88d9c5c0e854ba66ec4e1ece20477994ac5,Will the Iran ceasefire continue through May ,25,0,0,0.99,0.010101010101010166
7,2026-06-13,2026-06-20,0.635,1.0,110881534500357968934646596900153818247967390745149544995654778360419076918150,0x232342e2a9200b203703a816f9d99d1c6a872333567af16f43d67a255e1a6aa8,Will Germany win on 2026-06-20?,28,1,1,0.655,0.5267175572519083
3,2026-06-17,2026-06-20,0.635,1.0,110881534500357968934646596900153818247967390745149544995654778360419076918150,0x232342e2a9200b203703a816f9d99d1c6a872333567af16f43d67a255e1a6aa8,Will Germany win on 2026-06-20?,30,2,1,0.655,0.5267175572519083
7,2026-06-10,2026-06-17,0.0055,0.0,54688507565884542490190759171719899637342914252863057837926715255559077706253,0xa7cb4135c6d9c36da0e343874dd5b455de739c6d1b9f9f5583dd9320aacf5db2,Will the Fed increase interest rates by 25 bp,27,0,0,0.025500000000000002,-1.0
3,2026-06-14,2026-06-17,0.0025,0.0,54688507565884542490190759171719899637342914252863057837926715255559077706253,0xa7cb4135c6d9c36da0e343874dd5b455de739c6d1b9f9f5583dd9320aacf5db2,Will the Fed increase interest rates by 25 bp,28,0,0,0.0225,-1.0
7,2026-06-10,2026-06-17,0.0035,0.0,65193234666628291664907888364936366210889305490897648116746073820519263548476,0xdde06286a7b9464d344f410ab0b3d2ebc6469904e72c27fd982f65fdbf78768d,Will the Fed decrease interest rates by 25 bp,27,1,0,0.0235,-1.0
3,2026-06-14,2026-06-17,0.003,0.0,65193234666628291664907888364936366210889305490897648116746073820519263548476,0xdde06286a7b9464d344f410ab0b3d2ebc6469904e72c27fd982f65fdbf78768d,Will the Fed decrease interest rates by 25 bp,28,0,0,0.023,-1.0
7,2026-06-20,2026-06-27,0.0005,0.0,53465512181802150755993130711224070738002100921790051090044528012833736167995,0x51e8c8df709aa78f64d2d9324d9d2556270f81e3966ade308099e5338bb4e4c9,Will Iraq win the 2026 FIFA World Cup?,34,0,0,0.0205,-1.0
3,2026-06-24,2026-06-27,0.0005,0.0,53465512181802150755993130711224070738002100921790051090044528012833736167995,0x51e8c8df709aa78f64d2d9324d9d2556270f81e3966ade308099e5338bb4e4c9,Will Iraq win the 2026 FIFA World Cup?,38,0,0,0.0205,-1.0
