gecko_id,symbol,adapters,category,alltime_fees,price_start,price_days
thena,THE,thena-fusion,Dexs,24500976.0,2023-01-30,1119
thorchain,RUNE,thorchain-dex,Dexs,170685349.0,2019-07-20,2274
tokenlon,LON,tokenlon-amm,Dexs,72411281.0,2020-12-24,1923
tron,,tron,Chain,2118173395.0,2019-01-01,2465
trust-wallet-token,TWT,trust-wallet-wallet,Wallets,35021221.0,2020-04-29,2040
unibot,UNIBOT,unibot,Telegram Bot,29278050.48,2023-05-21,1108
unicrypt-2,UNCX,uncx-network-v2,Token Locker,14397282.760000007,2020-10-21,1814
uniswap,UNI,uniswap-v3|uniswap-v2|uniswap-v4,Dexs,5873802841.0,2020-09-17,1856
usdx-money-usdx,USDX,stables-labs-usdx,Basis Trading,14475709.0,2024-09-27,623
usual,USUAL,usual-usd0,RWA,75131354.0,2024-11-18,537
vault-2,V,the-vault-liquid-staking,Liquid Staking,22210354.189999998,2025-11-25,219
velodrome-finance,VELO,velodrome-v2|velodrome-v3,Dexs,45099985.89,2022-06-03,1335
velora,VLR,velora,DEX Aggregator,19554448.0,2025-09-16,339
vertex-protocol,VRTX,vertex-perps,Derivatives,30421960.0,2023-11-22,731
virtual-protocol,VIRTUAL,virtuals-protocol,AI Agents,73869044.0,2023-12-28,805
vvs-finance,VVS,vvs-standard,Dexs,17875831.0,2021-11-16,1566
wigoswap,WIGO,wigoswap,Dexs,20859732.190000024,2022-03-01,1175
world-liberty-financial,WLFI,world-liberty-financial,Lending,141402450.0,2025-09-01,286
yearn-finance,YFI,yearn-finance,Yield Aggregator,148208999.0,2020-07-19,1946
yei-finance,CLO,yeilend,Lending,13076327.0,2025-10-14,299
yolo-games,YOLO,yolo-games,Gaming,22530591.689999998,2024-06-15,488
zksync,,zksync-era,Chain,86183933.0,2024-06-18,651
zora,ZORA,zora-coins,Launchpad,10430062.0,2025-04-23,397
