gecko_id,symbol,adapters,category,alltime_fees,price_start,price_days,ticker,okx_perp_listed,hl_perp_listed,perp_listed
near,NEAR,near-intents|near,Bridge,63377415.98,2020-10-15,1839,NEAR,2020-12-21,2023-11-01,2020-12-21
nxm,NXM,nexus-mutual,Insurance,17203039.400000002,2020-07-13,2033,NXM,,,
ondo-finance,ONDO,ondo-yield-assets,RWA,81932601.0,2024-01-18,784,ONDO,2024-08-06,2024-01-20,2024-01-20
opinion,OPN,opinion,Prediction Market,17486683.0,2026-03-05,154,OPN,2026-02-23,,2026-02-23
optimism,-,superchain|op-mainnet,Services,197788529.0,2022-06-01,1297,OP,2022-06-01,2023-05-12,2022-06-01
orca,ORCA,orca-dex,Dexs,227344533.0,2021-08-11,1594,ORCA,,,
orderly-network,ORDER,orderly-perps,Derivatives,13976738.0,2024-08-26,662,ORDER,2025-09-30,,2025-09-30
ore,ORE,ore-protocol,Gamified Mining,38443836.0,2024-04-09,849,ORE,,,
osmosis,OSMO,osmosis-dex,Dexs,66250819.0,2021-06-29,1676,OSMO,,,
paal-ai,PAAL,paal-ai,Telegram Bot,14267513.0,2023-06-24,1060,PAAL,,,
pancakeswap-token,CAKE,pancakeswap-amm|pancakeswap-amm-v3|pancakeswap-prediction|pancakeswap-infinity,Dexs,1786946416.18,2020-09-30,1864,CAKE,,2023-12-30,2023-12-30
pangolin,PNG,pangolin-v2,Dexs,54062867.0,2021-02-20,1841,PNG,,,
paradex,DIME,paradex-perps,Derivatives,17804423.0,2026-03-05,183,DIME,,,
pendle,PENDLE,pendle-v2,Yield,66512483.0,2021-04-29,1666,PENDLE,2025-09-17,2023-10-26,2023-10-26
penpie,PNP,penpie,Yield,12524530.709999995,2023-06-23,1046,PNP,,,
pharaoh-2,PHAR,pharaoh-cl,Dexs,16862882.390000015,2025-10-15,309,PHAR,,,
polygon-ecosystem-token,,polygon,Chain,119257183.0,2023-10-26,863,POL,2024-09-24,2024-09-17,2024-09-17
puffer-finance,PUFFER,puffer-stake,Liquid Restaking,36738794.02,2024-10-14,612,PUFFER,,,
pulsex,PLSX,pulsex-v1|pulsex-v2,Dexs,40021214.0,2023-05-20,1069,PLSX,,,
pump-fun,PUMP,pump.fun|pumpswap|terminal,Launchpad,2065606646.0,2025-07-14,326,PUMP,2025-07-14,2025-07-10,2025-07-10
quickswap,QUICK,quickswap-dex|quickswap-v3,Dexs,225527475.0,2022-05-04,1425,QUICK,,,
radiant-capital,RDNT,radiant-v2,Lending,29491892.77000002,2022-07-26,1332,RDNT,,2023-10-03,2023-10-03
railgun,RAIL,railgun,Privacy,13413488.0,2021-07-04,1707,RAIL,,,
raydium,RAY,raydium-amm|launchlab,Dexs,1441414292.0,2021-02-22,1721,RAY,2024-03-12,,2024-03-12
renzo,REZ,renzo,Liquid Restaking,51345962.0,2024-05-01,755,REZ,,2024-04-30,2024-04-30
reserve-rights-token,RSR,reserve-protocol,Indexes,13932835.86,2019-05-23,2372,RSR,2020-09-09,2023-12-05,2020-09-09
resolv,RESOLV,resolv-usr,Basis Trading,36384792.0,2025-06-11,376,RESOLV,2025-06-10,2025-06-10,2025-06-10
rocket-pool,RPL,rocket-pool,Liquid Staking,212863848.0,2019-01-01,2434,RPL,,,
sanctum-2,CLOUD,sanctum-validator-lsts,Liquid Staking,217087757.0,2024-07-19,756,CLOUD,,,
save,SAVE,save,Lending,22255233.0,2024-12-13,624,SAVE,,,
scallop-2,SCA,scallop-lend,Lending,17964764.0,2024-03-08,894,SCA,,,
scroll,,scroll,Chain,42933385.20999999,2024-10-23,587,SCR,,2024-10-09,2024-10-09
shadow-2,SHADOW,shadow-exchange-clmm,Dexs,35175411.7,2025-01-19,564,SHADOW,,,
sideshift-token,XAI,sideshift,Cross Chain Bridge,14626382.0,2021-05-21,1690,XAI,,2024-01-15,2024-01-15
silo-finance-2,SILO,silo-v2,Lending,16160121.0,2025-05-10,380,SILO,,,
solana,,solana,Chain,1588952518.0,2020-04-11,1982,SOL,2021-01-22,2023-05-12,2021-01-22
solayer,LAYER,solayer-restaking,Restaking,10632637.04,2025-02-12,456,LAYER,2025-02-11,2025-02-11,2025-02-11
solblaze,BLZE,blazestake,Liquid Staking,23210883.11000001,2022-12-05,1047,BLZE,,,
soltradingbot,STBOT,soltradingbot,Telegram Bot,53844115.0,2023-11-21,762,STBOT,,,
solv-protocol,SOLV,solvbtc,Bridge,53041504.02,2025-01-18,512,SOLV,,,
sosovalue,SOSO,sosovalue-indexes,Indexes,45584535.0,2025-01-24,556,SOSO,,,
spark-2,SPK,sparklend|spark-liquidity-layer,Lending,354064992.0,2025-06-17,348,SPK,2025-06-17,,2025-06-17
spell-token,SPELL,abracadabra-spell,CDP,77757977.23999996,2021-05-28,1702,SPELL,,,
spookyswap,BOO,spookyswap-v2,Dexs,133975705.42,2021-05-05,1741,BOO,,,
stader,SD,stader,Liquid Staking,16548838.0,2022-03-15,1474,SD,,,
stake-link,SDL,stake.link-liquid,Liquid Staking,13462305.0,2022-12-06,1221,SDL,,,
stakewise,SWISE,stakewise-v3,Liquid Staking,41469955.0,2021-04-28,1618,SWISE,,,
stargate-finance,STG,stargate-v1,Cross Chain Bridge,33277346.020000007,2022-03-18,1427,STG,,2023-10-26,2023-10-26
starknet,,starknet,Chain,45686624.0,2024-02-20,761,STRK,2024-02-20,2024-02-14,2024-02-14
ston-2,STON,ston.fi,Dexs,20171280.65,2023-08-12,1018,STON,,,
stride,STRD,stride,Liquid Staking,21851665.0,2022-09-14,1290,STRD,,,
sui,,sui,Chain,25382463.0,2023-05-03,982,SUI,2023-05-05,2023-05-12,2023-05-05
suilend,SEND,suilend,Lending,43114587.0,2024-12-13,624,SEND,,,
sun-token,SUN,sunswap-v3|sunswap-v2,Dexs,57699431.0,2020-09-12,1878,SUN,,,
sushi,SUSHI,sushiswap|sushiswap-v3|sushiswap-agg,Dexs,711716633.42,2020-08-29,1905,SUSHI,2020-09-02,2023-11-17,2020-09-02
swell-network,SWELL,swell-liquid-staking,Liquid Staking,24460912.0,2024-09-30,612,SWELL,,,
synapse-2,SYN,synapse-cross-chain-bridge,Cross Chain Bridge,31781855.60000002,2021-08-30,1615,SYN,,,
synfutures,F,synfutures-v3,Derivatives,61168273.0,2024-12-06,577,F,2025-10-25,,2025-10-25
syrup,SYRUP,maple,Lending,194075988.96000004,2024-11-14,558,SYRUP,2025-07-03,2025-06-26,2025-06-26
tezos,,tezos,Chain,15889718.0,2019-01-01,2505,XTZ,2020-04-21,,2020-04-21
the-open-network,,ton,Chain,17387379.0,2021-08-27,1539,GRAM,2026-06-17,2026-07-02,2026-06-17
thena,THE,thena-fusion,Dexs,24500976.0,2023-01-30,1119,THE,,,
thorchain,RUNE,thorchain-dex,Dexs,170685349.0,2019-07-20,2274,RUNE,,2023-08-15,2023-08-15
tokenlon,LON,tokenlon-amm,Dexs,72411281.0,2020-12-24,1923,LON,,,
tron,,tron,Chain,2118173395.0,2019-01-01,2465,TRX,2019-11-12,2023-08-06,2019-11-12
trust-wallet-token,TWT,trust-wallet-wallet,Wallets,35021221.0,2020-04-29,2040,TWT,,,
unibot,UNIBOT,unibot,Telegram Bot,29278050.48,2023-05-21,1108,UNIBOT,,2023-08-02,2023-08-02
unicrypt-2,UNCX,uncx-network-v2,Token Locker,14397282.760000007,2020-10-21,1814,UNCX,,,
uniswap,UNI,uniswap-v3|uniswap-v2|uniswap-v4,Dexs,5873802841.0,2020-09-17,1856,UNI,2020-09-17,2023-08-11,2020-09-17
usdx-money-usdx,USDX,stables-labs-usdx,Basis Trading,14475709.0,2024-09-27,623,USDX,,,
usual,USUAL,usual-usd0,RWA,75131354.0,2024-11-18,537,USUAL,,2024-12-18,2024-12-18
vault-2,V,the-vault-liquid-staking,Liquid Staking,22210354.19,2025-11-25,219,V,,,
velodrome-finance,VELO,velodrome-v2|velodrome-v3,Dexs,45099985.89,2022-06-03,1335,VELO,,,
velora,VLR,velora,DEX Aggregator,19554448.0,2025-09-16,339,VLR,,,
vertex-protocol,VRTX,vertex-perps,Derivatives,30421960.0,2023-11-22,731,,,,
virtual-protocol,VIRTUAL,virtuals-protocol,AI Agents,73869044.0,2023-12-28,805,VIRTUAL,2024-12-11,2024-12-16,2024-12-11
vvs-finance,VVS,vvs-standard,Dexs,17875831.0,2021-11-16,1566,VVS,,,
wigoswap,WIGO,wigoswap,Dexs,20859732.190000024,2022-03-01,1175,,,,
world-liberty-financial,WLFI,world-liberty-financial,Lending,141402450.0,2025-09-01,286,WLFI,2025-08-23,2025-08-23,2025-08-23
yearn-finance,YFI,yearn-finance,Yield Aggregator,148208999.0,2020-07-19,1946,YFI,2020-09-02,,2020-09-02
yei-finance,CLO,yeilend,Lending,13076327.0,2025-10-14,299,CLO,,,
yolo-games,YOLO,yolo-games,Gaming,22530591.69,2024-06-15,488,YOLO,,,
zksync,,zksync-era,Chain,86183933.0,2024-06-18,651,ZK,2024-06-18,2024-06-12,2024-06-12
zora,ZORA,zora-coins,Launchpad,10430062.0,2025-04-23,397,ZORA,2025-10-10,2025-04-23,2025-04-23
