token,domain,leg,decision_date,price,outcome,res_date,volume,question,CE,S,calm,entry_cost,eff_entry,pnl_net
8056974132757317296200280829846107035608526850837286443271605113602493796577,geopolitics,yes,2025-10-02,0.085,1.0,2025-10-10 00:00:00,5865684.505132,Israel x Hamas ceasefire by October 10?,0.915,1,True,0.03,0.115,0.885
84317838341548518890483114460509081388373631447961519857517678607306651005749,geopolitics,yes,2025-10-02,0.265,1.0,2025-10-31 00:00:00,6659880.871753,Israel x Hamas ceasefire by October 31?,0.735,1,True,0.03,0.295,0.705
59081599675814278203312473759248819008347370698283370623500151690444709260342,geopolitics,yes,2025-11-24,0.0245,0.0,2025-11-30 00:00:00,4903949.131287,Russia x Ukraine ceasefire by November 30?,-0.0245,2,True,0.03,0.0545,-0.0545
86498068750018438192524977941980476748299785729870940867089250086714498791178,geopolitics,yes,2025-12-27,0.0645,1.0,2025-12-31 00:00:00,6161817.701307,U.S. anti-cartel strike/operation on foreign soil by December 31?,0.9355,1,True,0.03,0.0945,0.9055
58194798786674267467235696472878300864943462064955274098210719743062794563955,geopolitics,yes,2025-12-29,0.0685,0.0,2025-12-31 00:00:00,51073020.592839,US x Venezuela military engagement by December 31?,-0.0685,1,True,0.03,0.0985,-0.0985
103241255058165102643825411501787969136236666540181824742551260204317143218760,geopolitics,yes,2026-02-21,0.0295,0.0,2026-02-28 00:00:00,4604644.048422,"Will the US next strike Iran on February 27, 2026 (ET)?",-0.0295,1,True,0.03,0.0595,-0.0595
40785716512154576515459243689202568309525193875518923120378208451954796944952,geopolitics,yes,2026-02-21,0.175,1.0,2026-02-28 00:00:00,5006328.70815,Iran Strike on Israel by February 28?,0.825,1,True,0.03,0.205,0.795
70771354585365381988139008309072205730081182435161568795508496003376222185889,geopolitics,yes,2026-02-25,0.205,1.0,2026-03-31 00:00:00,63238697.721704,Khamenei out as Supreme Leader of Iran by March 31?,0.795,1,True,0.03,0.235,0.765
15052934213634595778860506780061300924840406606782657138856492802067972899387,geopolitics,yes,2026-02-25,0.061,1.0,2026-02-28 00:00:00,5837356.570176992,"Will the US next strike Iran on February 28, 2026 (ET)?",0.939,1,True,0.03,0.091,0.909
70700057183383598906691442221231569482859652786078566590114262794666826152942,geopolitics,yes,2026-02-25,0.1295,1.0,2026-02-28 00:00:00,5031421.008729,Will Israel or the US target an Iranian nuclear facility?,0.8705,1,True,0.03,0.1595,0.8405
34141894076461090122188007837560653115836547685839714096383156529096483178653,geopolitics,yes,2026-05-25,0.0205,0.0,2026-05-31 23:55:00,11190577.830452636,Kharg Island no longer under Iranian control by May 31?,-0.0205,5,True,0.03,0.0505,-0.0505
72094069823942324362885404801938332659316240217382754851102758232469673300092,geopolitics,yes,2026-05-25,0.235,0.0,2026-05-31 00:00:00,87888981.28583376,"US x Iran permanent peace deal by May 31, 2026?",-0.235,5,True,0.03,0.265,-0.265
110474507112100782314899291119134194443200805577700445554821199693457132940419,geopolitics,yes,2026-05-25,0.309,0.0,2026-05-31 00:00:00,8565902.329688976,Iran closes its airspace by May 31?,-0.309,5,True,0.03,0.339,-0.339
74212672038111642338418441232512878463316619437420953019668868649846340962463,geopolitics,yes,2026-05-25,0.1725,0.0,2026-05-31 00:00:00,6905766.889778924,US-Iran nuclear deal by May 31?,-0.1725,5,True,0.03,0.2025,-0.2025
2524866258201703875345714303520627683687425586066606325407691453627204155882,geopolitics,yes,2026-05-25,0.117,0.0,2026-05-31 00:00:00,5030217.856878972,"Iran agrees to surrender enriched uranium stockpile by May 31, 2026?",-0.117,5,True,0.03,0.147,-0.147
75368773924796889692244095268680530845326674028335428890799102675233506021923,geopolitics,yes,2026-06-01,0.245,0.0,2026-06-30 00:00:00,5783487.7468069885,US announces new Iran agreement/ceasefire extension by June 7?,-0.245,4,True,0.03,0.275,-0.275
55729187700220621940979114092031096586154133673216433038757883725632922111626,geopolitics,yes,2026-06-01,0.24,1.0,2026-06-07 00:00:00,16734226.137969712,Israel announces Lebanon ceasefire extension by June 7?,0.76,4,True,0.03,0.27,0.73
15995243820336177841554632127584222169952027258346817014909996961549144471612,geopolitics,yes,2026-06-01,0.095,0.0,2026-06-07 00:00:00,19099091.53422705,"US x Iran permanent peace deal by June 7, 2026?",-0.095,4,True,0.03,0.125,-0.125
5291002486403963698456394956934053310121036253546476549622050243362322115551,geopolitics,yes,2026-06-05,0.0975,1.0,2026-06-15 00:00:00,4863883.8464060025,Iran closes its airspace by June 15?,0.9025,4,True,0.03,0.1275,0.8725
76527061745629652908457766004409984899987000940094360145808443814083595137867,geopolitics,yes,2026-06-05,0.194,1.0,2026-06-30 00:00:00,5867679.048141011,Iran closes its airspace by June 30?,0.806,4,True,0.03,0.224,0.776
85757990385932534706988299079078754922989820036885446531805601375736781656061,geopolitics,yes,2026-06-05,0.055,1.0,2026-06-08 00:00:00,11787943.203117052,Iran closes its airspace by June 8?,0.945,4,True,0.03,0.085,0.915
68283792174293775430535402015214113701251372409839518501034763677920213819299,geopolitics,yes,2026-06-08,0.235,1.0,2026-06-30 00:00:00,11324069.03899108,US-Iran nuclear deal by June 30?,0.765,4,True,0.03,0.265,0.735
110552230042207377373769436375815103661291329913875427644565116020841414815329,geopolitics,yes,2026-06-09,0.125,0.0,2026-06-15 00:00:00,5651393.65295098,Israel closes its airspace by June 15?,-0.125,5,True,0.03,0.155,-0.155
5904694069529905826680225678119990013628860098514322777023141327768111791078,geopolitics,yes,2026-06-11,0.039,1.0,2026-06-15 00:00:00,177370818.43892464,"US x Iran permanent peace deal by June 15, 2026?",0.961,5,True,0.03,0.069,0.931
107259278816298402654822103861927486042412499982187590917424237525323082866574,geopolitics,yes,2026-06-14,0.115,0.0,2026-06-21 19:00:00,5451862.159343886,Will IR Iran win on 2026-06-21?,-0.115,5,True,0.03,0.145,-0.145
