token,decision_date,res_date,settle_date,price,ep,volume,outcome,exit_value,exited_early,reason,saved,capped,ret,hold
103241255058165102643825411501787969136236666540181824742551260204317143218760,2026-02-21,2026-02-28 00:00:00,2026-02-28 00:00:00,0.0295,0.0595,4604644.048422,0.0,0.0,False,settle,False,False,-1.0,7
40785716512154576515459243689202568309525193875518923120378208451954796944952,2026-02-21,2026-02-28 00:00:00,2026-02-28 00:00:00,0.175,0.205,5006328.70815,1.0,1.0,False,settle,False,False,3.8780487804878048,7
70771354585365381988139008309072205730081182435161568795508496003376222185889,2026-02-25,2026-03-03 00:00:00,2026-03-31 00:00:00,0.205,0.235,63238697.721704,1.0,0.9685,True,tp,False,True,3.121276595744681,6
15052934213634595778860506780061300924840406606782657138856492802067972899387,2026-02-25,2026-02-28 00:00:00,2026-02-28 00:00:00,0.061,0.091,5837356.570176992,1.0,1.0,False,settle,False,False,9.989010989010989,3
70700057183383598906691442221231569482859652786078566590114262794666826152942,2026-02-25,2026-02-28 00:00:00,2026-02-28 00:00:00,0.1295,0.1595,5031421.008729,1.0,1.0,False,settle,False,False,5.269592476489028,3
34141894076461090122188007837560653115836547685839714096383156529096483178653,2026-05-25,2026-05-31 23:55:00,2026-05-31 23:55:00,0.0205,0.0505,11190577.830452636,0.0,0.0,False,settle,False,False,-1.0,6
72094069823942324362885404801938332659316240217382754851102758232469673300092,2026-05-25,2026-05-31 00:00:00,2026-05-31 00:00:00,0.235,0.265,87888981.28583376,0.0,0.0,False,settle,False,False,-1.0,6
110474507112100782314899291119134194443200805577700445554821199693457132940419,2026-05-25,2026-05-31 00:00:00,2026-05-31 00:00:00,0.309,0.33899999999999997,8565902.329688976,0.0,0.0,False,settle,False,False,-1.0,6
74212672038111642338418441232512878463316619437420953019668868649846340962463,2026-05-25,2026-05-31 00:00:00,2026-05-31 00:00:00,0.1725,0.20249999999999999,6905766.889778924,0.0,0.0,False,settle,False,False,-1.0,6
2524866258201703875345714303520627683687425586066606325407691453627204155882,2026-05-25,2026-05-31 00:00:00,2026-05-31 00:00:00,0.117,0.14700000000000002,5030217.856878972,0.0,0.0,False,settle,False,False,-1.0,6
75368773924796889692244095268680530845326674028335428890799102675233506021923,2026-06-01,2026-06-30 00:00:00,2026-06-30 00:00:00,0.245,0.275,5783487.7468069885,0.0,0.0,False,settle,False,False,-1.0,29
55729187700220621940979114092031096586154133673216433038757883725632922111626,2026-06-01,2026-06-07 00:00:00,2026-06-07 00:00:00,0.24,0.27,16734226.137969712,1.0,0.9695,True,tp,False,True,2.5907407407407406,6
15995243820336177841554632127584222169952027258346817014909996961549144471612,2026-06-01,2026-06-07 00:00:00,2026-06-07 00:00:00,0.095,0.125,19099091.53422705,0.0,0.0,False,settle,False,False,-1.0,6
5291002486403963698456394956934053310121036253546476549622050243362322115551,2026-06-05,2026-06-10 00:00:00,2026-06-15 00:00:00,0.0975,0.1275,4863883.8464060025,1.0,0.9695,True,tp,False,True,6.6039215686274515,5
76527061745629652908457766004409984899987000940094360145808443814083595137867,2026-06-05,2026-06-10 00:00:00,2026-06-30 00:00:00,0.194,0.224,5867679.048141011,1.0,0.9695,True,tp,False,True,3.328125,5
85757990385932534706988299079078754922989820036885446531805601375736781656061,2026-06-05,2026-06-08 00:00:00,2026-06-08 00:00:00,0.055,0.08499999999999999,11787943.203117052,1.0,1.0,False,settle,False,False,10.764705882352942,3
68283792174293775430535402015214113701251372409839518501034763677920213819299,2026-06-08,2026-06-30 00:00:00,2026-06-30 00:00:00,0.235,0.265,11324069.03899108,1.0,1.0,False,settle,False,False,2.773584905660377,22
110552230042207377373769436375815103661291329913875427644565116020841414815329,2026-06-09,2026-06-15 00:00:00,2026-06-15 00:00:00,0.125,0.155,5651393.65295098,0.0,0.0,False,settle,False,False,-1.0,6
5904694069529905826680225678119990013628860098514322777023141327768111791078,2026-06-11,2026-06-15 00:00:00,2026-06-15 00:00:00,0.039,0.069,177370818.43892464,1.0,1.0,False,settle,False,False,13.492753623188404,4
107259278816298402654822103861927486042412499982187590917424237525323082866574,2026-06-14,2026-06-21 19:00:00,2026-06-21 19:00:00,0.115,0.14500000000000002,5451862.159343886,0.0,0.0,False,settle,False,False,-1.0,7
