token,condition_id,question,domain,end_date,entry_date,days_to_res,vix_max45,regime,in_strategy,entry_mid,entry_ask,spread,current_price,status,exit_date,outcome,pnl
37916433699926811417004179134161547895432712920399631263024897709000164571185,0x5813dc7ee3feea004711c97bdf27c407c3e943d876432ef50b49b8399eae9f37,"Israel withdraws from Lebanon by July 31, 2026?",geopolitics,2026-07-31T00:00:00Z,2026-06-24,36.05,22.2,calm,True,0.055,0.06,0.005,0.0095,lost,2026-07-03,0.0,-1.0
83617518285238151274836063590312610477192655509253955921300675735811392416805,0x3fe18d2b6303ee3a7e406aab679dbc0b0f7504dc6b477a31c69c6ffb04e9e11c,"Israel strike on Yemen by June 30, 2026?",geopolitics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.039,0.045,0.006,0.0005,lost,2026-07-01,0.0,-1.0
27530489613290284177027370919181618196698554516289292486210046237058588430612,0xc11f41372087c4d934ae7adb869ff08272b2bcb3e242d4e628330353c130e480,"Iran agrees to surrender enriched uranium stockpile by July 31, 2026?",geopolitics,2026-07-31T00:00:00Z,2026-06-24,36.05,22.2,calm,True,0.0425,0.043,0.0005,0.0095,lost,2026-07-10,0.0,-1.0
5500958648222024490080262026563017618333773328581609432182941377205770769101,0x3f0bc2757babb8bb9971c9f782fe81f9db734c12d84822f1120a90681c991ff8,Israeli parliament dissolved by June 30?,politics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.08,0.09,0.01,0.0005,lost,2026-07-01,0.0,-1.0
77152027450456333550959508442257151683880731695566175608498837932589686697330,0x91a0b4ff72ad76f01abf986e18aa8d226a5172760fffdc3687b78c580692bca2,"Israel x Hezbollah permanent peace deal by July 31, 2026?",geopolitics,2026-07-31T00:00:00Z,2026-06-24,36.05,22.2,calm,True,0.095,0.1,0.005,0.0095,lost,2026-07-18,0.0,-1.0
74748380065322490746235048550669785683312459873369875699487849822717961671818,0x151b13b0d75a282ea864a2835963c0164c03e8fa3064c4d44026e3af5f2ff8d4, Iran agrees to end enrichment of uranium by July 31?,geopolitics,2026-07-31T00:00:00Z,2026-06-24,36.05,22.2,calm,True,0.085,0.09,0.005,0.01,lost,2026-07-18,0.0,-1.0
92557339599379991257792137259949406096653890374419429974555855496093508422916,0xb23587fc1e319cdf9aaa12c503f6b2149c820c3d64ded3c98b4ff6719cac78fe,Will Russia capture Kostyantynivka by June 30?,geopolitics,2026-06-30T12:00:00Z,2026-06-24,5.55,22.2,calm,True,0.2065,0.207,0.0005,0.009,lost,2026-07-01,0.0,-1.0
64665245516345295735901969193223206085580325507513096345070491186323639015174,0x2af78d63305bbeeab287701eba943a587357b9c63086603cb85b15d8405e12a7,Tamas Sulyok out as President of Hungary by June 30?,politics,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.06,0.07,0.01,0.0005,lost,2026-07-01,0.0,-1.0
19470872781622450446330627562106312915240544924539183504885686468325701819521,0xa281783fc73b1a6927a301ee34cd90795470dc64b500673e445ba5e54f697c09,Will OpenAI’s market cap be between $1.25T and $1.5T at market close on IPO day?,ai/tech,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.1005,0.123,0.0225,0.0085,lost,2026-07-12,0.0,-1.0
21104929451508556278833234960985239409336185388965736726182283763241744015016,0xc10aa56ec9922432a9c834f79935f3110ba66a87073947a61ceaf65042bbb893,"Will Ethereum dip to $1,200 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.0205,0.023,0.0025,0.0005,lost,2026-07-01,0.0,-1.0
68442919069292709534954574726901363980770580232588252490762881203737356713310,0x614732ba7a1fe13aa24f5ca67f8e42564178a6f769fb296a017fdb71f82533f9,"Will Ethereum dip to $1,500 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.335,0.34,0.005,0.0005,lost,2026-07-01,0.0,-1.0
83949391398129766321449386019175318571490128024347049307900487790711865604735,0xb12f5e328a7d9f7a26e0a074625ea775025104e673c776d575dab422a472ef59,Israel closes its airspace by July 31?,geopolitics,2026-07-31T00:00:00Z,2026-06-24,36.05,22.2,calm,True,0.115,0.12,0.005,0.008,lost,2026-07-31,0.0,-1.0
79061180657059618586760238413063599341723464600586044738174282266677206810971,0x1ea03c4c7961402d2e494e7382aa127ed94745f08e11f21829f0e622fc1874a4,Will OpenAI have a #1 AI model by June 30?,ai/tech,2026-06-30T00:00:00Z,2026-06-24,5.05,22.2,calm,True,0.0235,0.027,0.0035,0.0005,lost,2026-07-01,0.0,-1.0
13271459809573599213395755912718751855908430661359993870080462558598871265743,0x6169a5cf74516d65914ddf6b254c65d68dd2bfaab725c056d5db2ad65b9482c2,Israel closes its airspace by July 15?,geopolitics,2026-07-15T00:00:00Z,2026-06-24,20.05,22.2,calm,True,0.065,0.07,0.005,0.01,lost,2026-07-15,0.0,-1.0
14241038315105094744274410311312552463913202686211306522223636842189575161389,0xbe2161199ecb28cda126451733b5d83e62af60bf36617c5502e21402002cd8df,"Will Ethereum dip to $1,400 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.106,0.111,0.005,0.0005,lost,2026-07-01,0.0,-1.0
85687970084307950280029939700668253105869588558732470599246318222221223515521,0x0c4bbf8059303fc185182b3cde5c672e457d7987a76eefc88f932bbdfdb3f945,Will Solana dip to $60 in June?,crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.2625,0.274,0.0115,0.0005,lost,2026-07-01,0.0,-1.0
57576180853051072480572396298174288536127364994302333888366121364947216503670,0x1a8808d7a309a210b3e413331005c3d7e8cd27d2da4a4acd4ff04b4072d2ed81,"Israel x Iran permanent peace deal by July 31, 2026?",geopolitics,2026-07-31T00:00:00Z,2026-06-24,36.05,22.2,calm,True,0.065,0.07,0.005,0.01,lost,2026-07-15,0.0,-1.0
58362022249648443589253209951687177715057034040055604729997555388773773711488,0x757ad347115f28ab9923a3d12a8f046534a87728f9be27c2f666de39983a99eb,"Will Ethereum dip to $1,300 in June?",crypto/financial,2026-07-01T04:00:00Z,2026-06-24,6.22,22.2,calm,True,0.0275,0.03,0.0025,0.0005,lost,2026-07-01,0.0,-1.0
75342601497089508883276927505926667289058707579736385719204195953768479770485,0x676e7cda423f5826bcbb3c141e808ad7c66bc2d055e4d0aca79c26779712062c,Israel closes its airspace by June 30?,geopolitics,2026-06-30T00:00:00Z,2026-06-25,4.85,22.2,calm,True,0.0205,0.021,0.0005,0.0015,lost,2026-07-01,0.0,-1.0
25525727903008164647026689100391054973031480780917052037601465710139540743876,0xe69b388ee2691abc5a2b4d66d9212053782c88f30e26f3b791111e562d327224,"GPT-5.6 released by June 30, 2026?",ai/tech,2026-06-30T00:00:00Z,2026-06-25,4.85,22.2,calm,True,0.0855,0.091,0.0055,0.0005,lost,2026-07-01,0.0,-1.0
37274093418935907685306114755989100443797473374068006190293618176554689002540,0xd1f296e1f58f9e7f6b0eb8a4f25c4e6759528c44e30c714debc311a4b5407afb,Will Anthropic’s market cap be $600B or greater at market close on IPO day?,ai/tech,2026-06-30T00:00:00Z,2026-06-25,4.53,22.2,calm,True,0.023,0.044,0.021,0.0005,lost,2026-07-01,0.0,-1.0
12073165430996982753658238000689229606665189526888971326636569247881874469180,0x0fc751446629fdf52b5ce3f816a52d443dafe0e6dc68a4001ec14bdb38fb39d5,"Will GPT-5.6 be released between June 22 and June 28, 2026?",ai/tech,2026-06-28T00:00:00Z,2026-06-25,2.53,22.2,calm,True,0.229,0.251,0.022,0.0005,lost,2026-07-01,0.0,-1.0
15633154783541507670612702084397504431047786317294274565096321513324678298222,0x545e1bf6ec42e0e8a776a3c3e11ed225f8d3dfcc74f98656e142f99a2b718383,"US x Iran diplomatic meeting by July 3, 2026?",geopolitics,2026-07-03T23:59:00Z,2026-07-01,2.01,22.2,calm,True,0.055,0.06,0.005,0.0085,lost,2026-07-02,0.0,-1.0
5146937358519020769008195118872413556730822166860975473115035755844494719521,0x79c850d5dd022d89aaf4f92105657d7a2e0518d4e4d4cf6cdce44d385fe029a7,"US x Iran diplomatic meeting by July 10, 2026?",geopolitics,2026-07-10T23:59:00Z,2026-07-01,9.01,22.2,calm,True,0.135,0.14,0.005,0.0095,lost,2026-07-09,0.0,-1.0
59540726726105191759377646221923566586595020352558312380615459160189274262446,0x61dcae8107169382527c8dac1fcd0e214b4b4267b65d0e6fd4872736d373f360,"US-Iran Final Nuclear Deal by July 31, 2026?",geopolitics,2026-07-31T23:59:00Z,2026-07-01,30.01,22.2,calm,True,0.0205,0.021,0.0005,0.01,lost,2026-07-08,0.0,-1.0
6077633070230470776652108532581280898684441958087418509077540637819937906663,0x636f780f794635820e8cafe81924ef2dd67622fc01b6b2e5e64e9cc99593a005,Will Iran announce withdrawal from MOU negotiations by July 31?,geopolitics,2026-07-31T23:59:00Z,2026-07-01,30.01,22.2,calm,True,0.105,0.11,0.005,0.0095,lost,2026-07-28,0.0,-1.0
41145237034863707584293541502863185517226457055846042466559730662973103613894,0xbd85740fcb891a4e12edd6fdb26656cb24e65f12aee67193ca751bb6ffdc184c,Will JD Vance attend the US-Iran Signing Ceremony?,geopolitics,2026-07-07T23:59:00Z,2026-07-01,6.01,22.2,calm,True,0.022,0.028,0.006,0.01,lost,2026-07-02,0.0,-1.0
104475344139610383099450044275767940154215872616914022795003498444118559085477,0xed5356b5d6f3b0d1095e21d586214de01b438ccb8d0ae5c59b55647d8fc95e97,Will OpenAI have the best AI model at the end of July 2026?,ai/tech,2026-07-31T00:00:00Z,2026-07-01,29.01,22.2,calm,True,0.0235,0.024,0.0005,0.008,lost,2026-07-10,0.0,-1.0
15495228285254466231335125808946052073840342359869563499062266006502800512695,0x8a8e093b25d7909ae01e944e746a1dee88801224fcff001c1c890ca43e2a66e1,Will Google have the best AI model at the end of July 2026?,ai/tech,2026-07-31T00:00:00Z,2026-07-01,29.01,22.2,calm,True,0.0945,0.095,0.0005,0.0095,lost,2026-07-17,0.0,-1.0
52963494160068825127098157164670656956085033747496799452064279590159408329367,0x6c486242e79252cc0bb57163a3b8d95e3b9538ea6a1de2e91848beeb5c6ad986,Iran full airspace closure by July 15?,geopolitics,2026-07-15T23:59:00Z,2026-07-03,12.61,22.2,calm,True,0.085,0.09,0.005,0.0065,lost,2026-07-15,0.0,-1.0
63808062715546895733626511170499399566995906189739805177191005369034802585003,0x3953c85ab5e965cb5b3b4deaa2a5294daa6b1165ff83b586804c04a7abf51a13,Iran full airspace closure by July 31?,geopolitics,2026-07-31T23:59:00Z,2026-07-03,28.53,22.2,calm,True,0.095,0.1,0.005,0.0015,lost,2026-08-01,0.0,-1.0
91225583041989160599792216424096291630066936781677985371862696685339502604935,0xfe6f1dad89e1ffad14c6429e2f50354d78bef4ea94b0444c9b8bb7ef24be7175,Will Trump pardon SBF by July 31?,politics,2026-07-31T19:59:00Z,2026-07-03,28.05,22.2,calm,True,0.0245,0.025,0.0005,0.0095,lost,2026-07-05,0.0,-1.0
33155332955952891634578278971241370547565953905463429717597205277664278786659,0xd8b94a79241263ba30e9cd7f58e88bf2a9013ce2ccdce73606916b2f53033466,Will James Fishback be the Republican nominee for Florida Governor?,politics,2026-08-18T00:00:00Z,2026-07-04,44.96,22.2,calm,True,0.0415,0.042,0.0005,0.0065,lost,2026-08-09,0.0,-1.0
43309871302492165728353651979262158707997256645855453970045994908642223910419,0xc0aed6d5d893988b4bef5a8242435bbc7c3b45b1e438bcffc9e9bf71d173ae46,"US-Iran Final Nuclear Deal by August 18, 2026?",geopolitics,2026-08-18T23:59:00Z,2026-07-05,44.92,22.2,calm,True,0.185,0.19,0.005,0.0095,lost,2026-08-08,0.0,-1.0
29430262678395537319199326140215396124984682262418982262247273209405979834308,0x659bff8b341ee3f74dfd82b1608bf37dff28501774f25dd48f93076621aa8f8a,"US-Iran Final Nuclear Deal by August 13, 2026?",geopolitics,2026-08-13T23:59:00Z,2026-07-05,39.92,22.2,calm,True,0.035,0.037,0.002,0.01,lost,2026-07-30,0.0,-1.0
51648990218544067436174137903077674890968483826939063393064351432982359534477,0x2be031440c5a571cd4fc3e05e2478d98aee41c7a44d10d3c5e6a24e38b30fabb,"Will Bitcoin dip to $57,500 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-05,26.22,22.2,calm,True,0.305,0.31,0.005,0.0065,lost,2026-07-29,0.0,-1.0
61185693373091340617494150277851514641770797636186465474956889484881632951438,0x325d2f917428a0d39ac7563770ec519208666b8c926091de1a1934d8570b64cd,"US x Iran diplomatic meeting by July 17, 2026?",geopolitics,2026-07-17T23:59:00Z,2026-07-06,11.76,22.2,calm,True,0.335,0.34,0.005,0.0095,lost,2026-07-15,0.0,-1.0
70060007759742302808850203923230495967841006347410479320265457231119910877637,0xbe20fcfd54937c2a48a7b8521ca349e6a2c4373566328ebb950a8c35ab1be3d9,"Will Bitcoin reach $67,500 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-06,25.6,22.2,calm,True,0.335,0.34,0.005,0.0095,lost,2026-07-31,0.0,-1.0
91681892620830012792284530162711543188003601755078677255161216263758574510115,0x5523e3b9895124788b2bed38f4b6be72c3f41cd2d2ee4354d93b26a3f533eaf6,"Will Bitcoin reach $75,000 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-06,25.44,22.2,calm,True,0.0785,0.079,0.0005,0.01,lost,2026-07-23,0.0,-1.0
77255893903918690081284357453861161505915802142027220966570277130582323543898,0x50361a31c2b1ce6e3f094e5455a978e47e296e4956a6863135d4f693c5a711ed,"Will GPT-5.6 be released on July 7, 2026?",ai/tech,2026-07-31T23:59:00Z,2026-07-07,24.85,22.2,calm,True,0.139,0.174,0.035,0.0095,lost,2026-07-07,0.0,-1.0
103306680198948704554599811183197844953598147952241074674297011149394308706028,0xe284a52d608552290b056def0a62e1914b3ebe316407504f56f6361fafc68358,"Will Bitcoin reach $70,000 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-07,24.58,22.2,calm,True,0.215,0.22,0.005,0.009,lost,2026-07-29,0.0,-1.0
53090343757936832119594668014060056498001792741030341017017660687678920951519,0x136f4e242faeb42f66fa6baf4c192fbfa0b5788ed47a2bf1a3d3a2051b87715a,Will the US announce a blockade on Iran by July 31?,geopolitics,2026-07-31T23:59:00Z,2026-07-07,24.21,22.2,calm,True,0.18,0.2,0.02,0.9985,won,2026-07-13,1.0,4.0
19248118701345337783027862126645802354931513041374671216864060975949935504627,0x75dd98fa62a51db40b0349e5db1f6b5d0da7481287586752db91278a7822ef15,Iran charges Hormuz fees by July 15?,geopolitics,2026-07-15T23:59:00Z,2026-07-07,8.05,22.2,calm,True,0.0535,0.055,0.0015,0.009,lost,2026-07-15,0.0,-1.0
65970969945887890144318439517249678603585471578776397377733204695340866631586,0x38903ef70b7d9ee41ea22ef2aec6287e4e6c77ec8702ca741e37d5c5df090a4d,"Will Bitcoin reach $72,500 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-07,24.18,22.2,calm,True,0.135,0.14,0.005,0.009,lost,2026-07-26,0.0,-1.0
78686353514705321228801510541034212126706648486090109749813429275530339123120,0xbfefe500c3fea4d8067f39246e4d9404a6fe0ea3040e1366d4ac02367d751c46,"Will Bitcoin dip to $55,000 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-10,22.02,22.2,calm,True,0.135,0.14,0.005,0.0055,lost,2026-07-27,0.0,-1.0
7428480771562349556510380411979961516226216216423930663566128627393837182739,0x5e2aecc3ca41986f8e5f1a67c4d8f5bed56c10191dd5ea0c4980e66a3d61d680,"Will Bitcoin dip to $50,000 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-10,21.93,22.2,calm,True,0.028,0.029,0.001,0.0095,lost,2026-07-19,0.0,-1.0
99707231507759124574081212672007537204787934380228084704600028791237773589839,0x568ef50047d16c3d071dfd22ddc06740f0d87b77769f6d9891a88490450bcc40,Will Jay Collins be the Republican nominee for Florida Governor?,politics,2026-08-18T00:00:00Z,2026-07-10,38.22,22.2,calm,True,0.022,0.024,0.002,0.009,lost,2026-07-13,0.0,-1.0
74462846001112551889381594844341180152175754734494528262426578934481198187772,0x13dae092813125bf5e892a59dac2154e0fdb6aff600a3996ed0ab3b07d68e683,"Will Bitcoin reach $77,500 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-10,21.34,22.2,calm,True,0.0245,0.025,0.0005,0.0085,lost,2026-07-13,0.0,-1.0
65644757702206950162636707352918025800601834520453373548590833086042343776752,0x92b9c5b245a8d82669b34c6bdb7a26587b4412fe6d606301c961e904cfa32762,"Will Ethereum reach $2,500 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-11,20.34,22.2,calm,True,0.0215,0.023,0.0015,0.0075,lost,2026-07-17,0.0,-1.0
95676548525614691656970153001244738030704823210041753577158504248850005676647,0xb838caec0354e09985f2c228c54ba190cb284f390beda5ffd58d163ba00648ec,"US x Iran diplomatic meeting by July 31, 2026?",geopolitics,2026-07-31T23:59:00Z,2026-07-11,20.01,22.2,calm,True,0.335,0.34,0.005,0.009,lost,2026-07-29,0.0,-1.0
102451827870754857819917363477059455981807381920683022472701345996332142120457,0x7618e80c410d107b9929455007e4ccf649630ac6aec6a76ebcd04ae9946dd514,Will the Fed decide differently in the next three decisions (Apr–Jun–Jul)?,crypto/financial,2026-07-29T00:00:00Z,2026-07-12,16.39,22.2,calm,True,0.206,0.209,0.003,0.0005,lost,2026-07-29,0.0,-1.0
83941365690100705016598436218432611620680744934194407871908427193342275160795,0xdfbe36a1200c4ec361aa20733ede4d33085eef400c11d28a00079a2ba46d3d05,"Will Bitcoin dip to $47,500 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-13,18.62,22.2,calm,True,0.02,0.021,0.001,0.0085,lost,2026-07-14,0.0,-1.0
40626277021057020333498992048745919928144793975251108532386993952876078102411,0xa37edbac74383987e7b3c4e25360c223207b5f8ffdaaddea7e6e62ab2aa0d56a,Will Iran announce withdrawal from MOU negotiations by July 17?,geopolitics,2026-07-17T23:59:00Z,2026-07-13,4.45,22.2,calm,True,0.0575,0.061,0.0035,0.0065,lost,2026-07-18,0.0,-1.0
49483676875094269345545350163855923472965516450968582856461654686900491051647,0x0d3ad3afe0e01075d00e6869a09f1982742fba950b4cae8fff452b282b5a80fc,Iran leadership change by July 31?,geopolitics,2026-07-31T00:00:00Z,2026-07-13,17.36,22.2,calm,True,0.045,0.048,0.003,0.0095,lost,2026-07-26,0.0,-1.0
93838758485682196196905291300375162467135643283271312557929851459086376825083,0x518df6d694ad4658fe6c284850c029c6f00c9b3609cf05f7757d1fecba1641f8,US-Iran 60 day negotiation period extended?,geopolitics,2026-08-20T23:59:00Z,2026-07-14,37.14,22.2,calm,True,0.335,0.34,0.005,0.0075,lost,2026-08-20,0.0,-1.0
111980777182041914049532090212067582045951372497433914372279961101755150794640,0xe498447cc887be42044835ac88ece14c34a158a3e6f5e1be07a89629d7100b61,"Will Bitcoin dip to $52,500 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-15,16.83,22.2,calm,True,0.0355,0.036,0.0005,0.009,lost,2026-07-20,0.0,-1.0
76775375296033651317898012041289573382116059705683933691523480898942221844797,0x9acc543deb6148979bcf1433326d3c87058183b444e9dc39bab7bced0252c52a,"Will Bitcoin dip to $60,000 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-15,16.54,22.2,calm,True,0.255,0.26,0.005,0.0065,lost,2026-07-30,0.0,-1.0
56655663448527407103026328668514568306130294232674267267630475034789094115839,0x1baf407855ceab1d3e1a9c9c1fe32b547a3ccd575e4d8eb1f7d4b5b27a1122df,"Israel withdraws from Lebanon by August 31, 2026?",geopolitics,2026-08-31T00:00:00Z,2026-07-17,44.96,22.2,calm,True,0.0205,0.021,0.0005,0.01,lost,2026-08-09,0.0,-1.0
26780946173190615145033887285698781983756157667988198827434426491406327975504,0xfb8ac17fdf80c31eb666086c6d278a076774d527fabafae9d391468c2f9f3727,"Russia x Ukraine ceasefire agreement by August 31, 2026?",geopolitics,2026-08-31T00:00:00Z,2026-07-17,44.96,22.2,calm,True,0.075,0.08,0.005,0.009,lost,2026-08-23,0.0,-1.0
67618687138618616009474379841981387029656591298511163184190255433704137454173,0x66fbbbdd85018017c1b6de182e27afbefbceb10baea9c5e13a458ea35d853ace,"Will Ethereum reach $2,000 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-17,14.87,22.2,calm,True,0.325,0.33,0.005,0.006,lost,2026-07-31,0.0,-1.0
4210472782770190693777403787996130135937815306713416914205456667076117176079,0xa5bd4b831f180564aef6a119e1f94a5d574344e25a546b7a1f14aec7cc6e2d83,Will Iran announce withdrawal from MOU negotiations by July 24?,geopolitics,2026-07-24T23:59:00Z,2026-07-17,7.14,22.2,calm,True,0.115,0.12,0.005,0.01,lost,2026-07-24,0.0,-1.0
37071201064004867793384227173951609485390907960072244087184888120714199352869,0xa1b3158fedfddaf2a0d8b364f6a57ee68146fb6ad458222aa8e02bcf0abbb099,"US-Iran Final Nuclear Deal by August 31, 2026?",geopolitics,2026-08-31T23:59:00Z,2026-07-18,44.96,22.2,calm,True,0.065,0.07,0.005,0.0095,lost,2026-08-15,0.0,-1.0
113410960838036610177054042201506207817797370827970598802492258356512540837137,0x58180f4a69651f67c23ac92845721b2320cc0c76effeb5e79db5288d8d8e6b28,US x Iran Effective Ceasefire by July 24?,geopolitics,2026-07-24T23:59:00Z,2026-07-18,6.35,22.2,calm,True,0.125,0.13,0.005,0.0015,lost,2026-07-29,0.0,-1.0
54972485612542353955693785745658417485269741775441019242732798969647627035768,0xa488ab1e9bc72914b695c398c0027bd4edc1679d6ff949c1861fa33b2c9ae4d4,Will Iran announce withdrawal from MOU negotiations by August 15?,geopolitics,2026-08-15T23:59:00Z,2026-07-19,27.7,22.2,calm,True,0.3,0.31,0.01,0.009,lost,2026-08-09,0.0,-1.0
53418818717395642215847700141769754936498028108068862975119193310501747206639,0xfaaa9bfb1d760d6b1ff56a74658ce00603951614bfc88a766e2e73c7616b18a8,"Will Ethereum reach $2,200 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-19,12.22,22.2,calm,True,0.057,0.059,0.002,0.01,lost,2026-07-29,0.0,-1.0
9225500616646857630124704690284065786811292595510371759719805962740870955812,0xceb73b756d1dffbb60452a86efbca93efea9453a6f5078b2c8fd49dda3f5ccee,Iran charges Hormuz fees by August 31?,geopolitics,2026-08-31T23:59:00Z,2026-07-19,43.01,22.2,calm,True,0.345,0.36,0.015,0.0025,lost,2026-08-29,0.0,-1.0
74262568044285840417555465910703355991632422692108408453199177956025235702892,0x06c901b3983cd58bec34252a72a74d4a2f2a64e6ad359967a864dc424997967a,Will Russia capture Kostyantynivka by July 31?,geopolitics,2026-07-31T12:00:00Z,2026-07-20,11.46,22.2,calm,True,0.18,0.19,0.01,0.006,lost,2026-07-31,0.0,-1.0
95577979648711137561778638101766617213130581085760544385254830392377913395624,0x5a9395dae6c7643ea06e7a555580a5526e81073aea9c9306363529c5b76a8f8b,US x Iran Effective Ceasefire by July 31?,geopolitics,2026-07-31T23:59:00Z,2026-07-20,11.96,22.2,calm,True,0.155,0.16,0.005,0.995,won,2026-08-12,1.0,5.25
10664337798123736696260556542432579736128414362383690138653747665465227499179,0xae9371b82303032df14dd6d1b2edf57add61a073cd8fa2d4340e1a35e18ed9b5,"Will Ethereum reach $2,400 in July?",crypto/financial,2026-08-01T04:00:00Z,2026-07-20,11.54,22.2,calm,True,0.0215,0.025,0.0035,0.0095,lost,2026-07-23,0.0,-1.0
