token,condition_id,question,domain,proxy,proxy_value,regime,end_date,entry_date,days_to_res,entry_ask,current_price,bet_fraction,status,exit_date,outcome,pnl
5146937358519020769008195118872413556730822166860975473115035755844494719521,0x79c850d5dd022d89aaf4f92105657d7a2e0518d4e4d4cf6cdce44d385fe029a7,"US x Iran diplomatic meeting by July 10, 2026?",geopolitics,GPR index,199.48,calm,2026-07-10T23:59:00Z,2026-06-30,10.52,0.33,0.0095,0.05,lost,2026-07-09,0.0,-0.05
6077633070230470776652108532581280898684441958087418509077540637819937906663,0x636f780f794635820e8cafe81924ef2dd67622fc01b6b2e5e64e9cc99593a005,Will Iran announce withdrawal from MOU negotiations by July 31?,geopolitics,GPR index,199.48,calm,2026-07-31T23:59:00Z,2026-07-01,30.67,0.11,0.135,0.05,open,,,
41145237034863707584293541502863185517226457055846042466559730662973103613894,0xbd85740fcb891a4e12edd6fdb26656cb24e65f12aee67193ca751bb6ffdc184c,Will JD Vance attend the US-Iran Signing Ceremony?,geopolitics,GPR index,199.48,calm,2026-07-07T23:59:00Z,2026-07-01,6.45,0.028,0.01,0.05,lost,2026-07-02,0.0,-0.05
52963494160068825127098157164670656956085033747496799452064279590159408329367,0x6c486242e79252cc0bb57163a3b8d95e3b9538ea6a1de2e91848beeb5c6ad986,Iran full airspace closure by July 15?,geopolitics,GPR index,199.48,calm,2026-07-15T23:59:00Z,2026-07-03,12.6,0.09,0.0685,0.05,open,,,
63808062715546895733626511170499399566995906189739805177191005369034802585003,0x3953c85ab5e965cb5b3b4deaa2a5294daa6b1165ff83b586804c04a7abf51a13,Iran full airspace closure by July 31?,geopolitics,GPR index,199.48,calm,2026-07-31T23:59:00Z,2026-07-03,28.53,0.1,0.2,0.05,open,,,
43309871302492165728353651979262158707997256645855453970045994908642223910419,0xc0aed6d5d893988b4bef5a8242435bbc7c3b45b1e438bcffc9e9bf71d173ae46,"US-Iran Final Nuclear Deal by August 18, 2026?",geopolitics,GPR index,199.48,calm,2026-08-18T23:59:00Z,2026-07-05,44.92,0.19,0.095,0.05,open,,,
29430262678395537319199326140215396124984682262418982262247273209405979834308,0x659bff8b341ee3f74dfd82b1608bf37dff28501774f25dd48f93076621aa8f8a,"US-Iran Final Nuclear Deal by August 13, 2026?",geopolitics,GPR index,199.48,calm,2026-08-13T23:59:00Z,2026-07-05,39.92,0.037,0.027,0.05,open,,,
61185693373091340617494150277851514641770797636186465474956889484881632951438,0x325d2f917428a0d39ac7563770ec519208666b8c926091de1a1934d8570b64cd,"US x Iran diplomatic meeting by July 17, 2026?",geopolitics,GPR index,199.48,calm,2026-07-17T23:59:00Z,2026-07-06,11.76,0.34,0.22,0.05,open,,,
53090343757936832119594668014060056498001792741030341017017660687678920951519,0x136f4e242faeb42f66fa6baf4c192fbfa0b5788ed47a2bf1a3d3a2051b87715a,Will the US announce a blockade on Iran by July 31?,geopolitics,GPR index,199.48,calm,2026-07-31T23:59:00Z,2026-07-07,24.21,0.2,0.215,0.05,open,,,
19248118701345337783027862126645802354931513041374671216864060975949935504627,0x75dd98fa62a51db40b0349e5db1f6b5d0da7481287586752db91278a7822ef15,Iran charges Hormuz fees by July 15?,geopolitics,GPR index,199.48,calm,2026-07-15T23:59:00Z,2026-07-07,8.05,0.055,0.034,0.05,open,,,
